step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
39,12092,156,0.29737723570570906,0.0,0.717391304347826
40,12384,160,0.5657395835773291,0.0,0.7283950617283951
41,12932,164,0.3328331915444384,0.0,0.762962962962963
42,13320,168,0.3586169257117077,0.0,0.7755102040816326
43,13676,172,0.296235902539101,0.0,0.7368421052631579
44,13936,176,0.3553880542688037,0.0,0.7761194029850746
45,14260,180,0.5891197988540361,0.0,0.7
46,14456,184,0.7004361626898917,0.0,0.7125
47,14908,188,0.3604277973928888,0.0,0.7777777777777778
48,15168,192,0.5931714521655579,0.0,0.792
49,15492,196,0.43954498577749523,0.0,0.6506024096385542
50,15944,200,0.3691850013688648,0.0,0.7699115044247787
51,16236,204,0.23580751477208903,0.0,0.8333333333333334
52,16464,208,0.4553199400806566,0.0,0.7702702702702703
53,16852,212,0.32594567457562595,0.0,0.7323943661971831
54,17112,216,0.405533397447178,0.0,0.7058823529411765
55,17468,220,0.41769293578756983,0.0,0.6575342465753424
56,17760,224,0.5408390668182708,0.0,0.75
57,18084,228,0.34399056772912645,0.0,0.7333333333333333
58,18408,232,0.3181965695059749,0.0,0.7534246575342466
59,18668,236,0.55475700403229,0.0,0.7195121951219512
60,19120,240,0.488697173699367,0.0,0.7852760736196319
61,19412,244,0.5284736600034008,0.0,0.73
62,19736,248,0.4629508147183509,0.0,0.75
63,20028,252,0.42451517936981864,0.0,0.725
64,20416,256,0.3775740164772052,0.0,0.7523809523809524
65,20708,260,0.4919029394568123,0.0,0.7362637362637363
66,21160,264,0.37051409932664386,0.0,0.6153846153846154
67,21516,268,0.4985490944727849,0.0,0.6796116504854369
68,21840,272,0.4432011264359602,0.0,0.7735849056603774
69,22132,276,0.40432870500876006,0.0,0.6811594202898551
70,22328,280,0.5576812041877884,0.0,0.6875
71,22780,284,0.37686298360134124,0.0,0.7876712328767124
72,23008,288,0.6985675620742625,0.0,0.64
73,23300,292,0.5505386580341713,0.0,0.7606837606837606
74,23496,296,0.6218744244495474,0.0,0.7368421052631579
75,23820,300,0.3812637061441046,0.0,0.704225352112676
76,24208,304,0.4408092765915656,0.0,0.7692307692307693
77,24468,308,0.49096482735451413,0.0,0.7391304347826086
78,24728,312,0.5173859179316065,0.0,0.72
79,25020,316,0.4945022276961439,0.0,0.7473684210526316
80,25280,320,0.43764389096969014,0.0,0.7619047619047619
81,25604,324,0.45268772333486745,0.0,0.7692307692307693
82,25768,328,0.4859171295511283,0.0,0.7796610169491526
83,26060,332,0.5519007306960249,0.0,0.7426470588235294
84,26480,336,0.3261558442010383,0.0,0.8074074074074075
85,26868,340,0.4490877433840126,0.0,0.7058823529411765
86,27224,344,0.3137692612034051,0.0,0.7216494845360825
87,27452,348,0.6135475902852329,0.0,0.72
88,27840,352,0.3450325095650448,0.0,0.7454545454545455
89,28132,356,0.32282315774293296,0.0,0.7733333333333333
90,28360,360,0.5178014279771482,0.0,0.7121212121212122
91,28812,364,0.4164136466390724,0.0,0.7659574468085106
92,29360,368,0.25305181393353693,0.0,0.7954545454545454
93,29588,372,0.3763911372843768,0.0,0.7647058823529411
94,29912,376,0.47681938753177466,0.0,0.7256637168141593
95,30076,380,0.6700131903648646,0.0,0.7352941176470589
96,30336,384,0.411633584764558,0.0,0.7222222222222222
97,30724,388,0.43822423679521244,0.0,0.7891156462585034
