step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
35,24984,280,0.34279337438371843,0.0,0.788235294117647
36,25888,288,0.2592062421128167,0.0,0.7788461538461539
37,26472,296,0.34642803663708605,0.0,0.8181818181818182
38,27184,304,0.3665810365658722,0.0,0.784688995215311
39,27768,312,0.46452730830832795,0.0,0.785
40,28736,320,0.33913635807859954,0.0,0.7478632478632479
41,29384,328,0.587569484537067,0.0,0.6948356807511737
42,30288,336,0.3177534191225075,0.0,0.7966804979253111
43,31064,344,0.35554115754131543,0.0,0.7393939393939394
44,31968,352,0.3734440316024798,0.0,0.7619047619047619
45,32552,360,0.3845712146125301,0.0,0.7790055248618785
46,33456,368,0.24186718227816842,0.0,0.8029556650246306
47,34360,376,0.3698256046044774,0.0,0.7606177606177607
48,35008,384,0.3760388934288711,0.0,0.82
49,35848,392,0.3262167871452743,0.0,0.7838983050847458
50,36560,400,0.5223227801774426,0.0,0.7470355731225297
51,37336,408,0.3721165413930476,0.0,0.8113207547169812
52,38240,416,0.23770450262524603,0.0,0.8072916666666666
53,38824,424,0.39668172521836215,0.0,0.7788944723618091
54,39536,432,0.3207141953910311,0.0,0.8053097345132744
55,40312,440,0.280885493624413,0.0,0.8
56,41088,448,0.25388237555065524,0.0,0.8241206030150754
57,41736,456,0.6106498483757784,0.0,0.719626168224299
58,42512,464,0.3574550844984646,0.0,0.77
59,43672,472,0.2799689596840587,0.0,0.8127208480565371
60,44384,480,0.35710731187446554,0.0,0.8078602620087336
61,45736,488,0.2177823203961502,0.0,0.7751004016064257
62,46384,496,0.42003490626276285,0.0,0.743455497382199
63,47032,504,0.4370153077782445,0.0,0.7685185185185185
64,47680,512,0.5689379234381973,0.0,0.7468879668049793
65,48392,520,0.43610772552769944,0.0,0.782051282051282
66,49232,528,0.23131235499972133,0.0,0.8472906403940886
67,49880,536,0.31277725519657495,0.0,0.7912087912087912
68,50528,544,0.38329553451140863,0.0,0.7914691943127962
69,51496,552,0.3023317218091919,0.0,0.7429906542056075
70,52528,560,0.4027897074808371,0.0,0.734982332155477
71,53240,568,0.2908727621679774,0.0,0.7828571428571428
72,53888,576,0.37379006869928616,0.0,0.7934272300469484
73,54664,584,0.3013162615272827,0.0,0.8056872037914692
74,55504,592,0.27447656924453356,0.0,0.7980295566502463
75,56408,600,0.4059725141074015,0.0,0.7183098591549296
76,57312,608,0.36296960371501047,0.0,0.7883211678832117
77,58024,616,0.35889582332195097,0.0,0.7850877192982456
78,59120,624,0.18958080043447675,0.0,0.7902439024390244
79,59896,632,0.2508040007686534,0.0,0.84
80,60672,640,0.3862108870317586,0.0,0.7971014492753623
81,61384,648,0.41864086266737055,0.0,0.7903225806451613
82,61904,656,0.4960408361055069,0.0,0.772020725388601
83,62616,664,0.33296086903523986,0.0,0.8038277511961722
84,63328,672,0.3956397879886324,0.0,0.7570093457943925
85,64232,680,0.25782045258046077,0.0,0.7934272300469484
86,64944,688,0.3839790977609855,0.0,0.7894736842105263
87,65656,696,0.37803429863060545,0.0,0.7539267015706806
88,66368,704,0.2742530698842282,0.0,0.8152173913043478
89,66888,712,0.3526269762167571,0.0,0.825
90,67728,720,0.2974843022074052,0.0,0.788135593220339
91,68440,728,0.41796188136196355,0.0,0.7777777777777778
92,69216,736,0.3687909374184198,0.0,0.8
93,69992,744,0.28849947626530686,0.0,0.8
94,70960,752,0.25191580236042593,0.0,0.8109243697478992
95,71608,760,0.28865542273864425,0.0,0.8012422360248447
96,72448,768,0.27174372722494206,0.0,0.788659793814433
97,73032,776,0.4480825197631106,0.0,0.7512437810945274
98,73808,784,0.32676713517961636,0.0,0.8008130081300813
99,74520,792,0.33314724069913343,0.0,0.7602040816326531
100,75104,800,0.3346538957859129,0.0,0.8052631578947368
101,75752,808,0.4605823584577811,0.0,0.7384615384615385
102,76592,816,0.363853295650426,0.0,0.7816091954022989
103,77240,824,0.3253166343775223,0.0,0.7990430622009569
104,78016,832,0.40946781306506147,0.0,0.7658730158730159
105,78920,840,0.281639014993044,0.0,0.7922077922077922
106,79504,848,0.4327715381108325,0.0,0.7891891891891892
107,80408,856,0.2594471905579102,0.0,0.8318965517241379
108,81120,864,0.3246099715087356,0.0,0.8067632850241546
109,81768,872,0.28262929278992405,0.0,0.8138297872340425
110,82416,880,0.37567860468616093,0.0,0.7788944723618091
111,82936,888,0.4470569509188391,0.0,0.7828571428571428
112,83904,896,0.2896946949798593,0.0,0.796078431372549
113,84680,904,0.35271948926789115,0.0,0.8
114,85200,912,0.4195801843713832,0.0,0.8040201005025126
115,86168,920,0.30032505189107306,0.0,0.7536231884057971
116,86816,928,0.4041056619071389,0.0,0.7963800904977375
117,87400,936,0.3762326672683416,0.0,0.7650602409638554
118,88176,944,0.36433151017866877,0.0,0.7869565217391304
119,89016,952,0.30239635075595284,0.0,0.8059071729957806
120,89536,960,0.40125602279454553,0.0,0.7853658536585366
121,90184,968,0.4042413842827063,0.0,0.8009478672985783
122,90832,976,0.27709753272463084,0.0,0.8072289156626506
123,91416,984,0.38707675763168314,0.0,0.7660818713450293
124,92384,992,0.29135311272818626,0.0,0.7539267015706806
125,92968,1000,0.37542748008089044,0.0,0.7883597883597884
126,93744,1008,0.3538892494172801,0.0,0.7677725118483413
127,94392,1016,0.2845675916542141,0.0,0.83
128,95040,1024,0.5072678877025911,0.0,0.7931034482758621
129,95688,1032,0.28701187510459253,0.0,0.819672131147541
130,96656,1040,0.2534768757302383,0.0,0.7857142857142857
131,97624,1048,0.2741172990108813,0.0,0.8
132,98144,1056,0.32250854277919133,0.0,0.8323699421965318
133,98984,1064,0.34020858657816205,0.0,0.7873303167420814
134,99696,1072,0.41104700571070135,0.0,0.7766990291262136
135,100344,1080,0.32642732892320275,0.0,0.803030303030303
136,101184,1088,0.33784416659932587,0.0,0.8048780487804879
137,101896,1096,0.4045773115817743,0.0,0.8066914498141264
138,102864,1104,0.3321681451545179,0.0,0.7440944881889764
139,103640,1112,0.2763301931178454,0.0,0.8438818565400844
140,104352,1120,0.3755858439844891,0.0,0.7949790794979079
141,105064,1128,0.351640676238851,0.0,0.7616580310880829
142,105840,1136,0.33985789075400824,0.0,0.7946428571428571
143,106296,1144,0.44699552114918106,0.0,0.8
144,106880,1152,0.37186199322588653,0.0,0.788659793814433
145,107592,1160,0.33040967036103974,0.0,0.8113207547169812
146,108176,1168,0.24051805875392496,0.0,0.8373493975903614
147,109080,1176,0.2523547950831208,0.0,0.7880184331797235
148,109984,1184,0.30140144092217636,0.0,0.8045977011494253
149,110760,1192,0.36973701977185885,0.0,0.7623318385650224
150,111600,1200,0.2461415024230041,0.0,0.8333333333333334
151,112504,1208,0.21843764543536523,0.0,0.8412017167381974
152,113216,1216,0.40931718648074894,0.0,0.7936507936507936
153,114120,1224,0.3451978027222743,0.0,0.8
154,114832,1232,0.25581070390318766,0.0,0.8157894736842105
155,115736,1240,0.27549448150092676,0.0,0.7927927927927928
156,116640,1248,0.22292404334640636,0.0,0.783068783068783
157,117352,1256,0.3735362881691668,0.0,0.7222222222222222
158,118000,1264,0.3227396375856212,0.0,0.8051282051282052
159,118712,1272,0.3708522230977033,0.0,0.7692307692307693
160,119680,1280,0.3204832599711446,0.0,0.782258064516129
161,120520,1288,0.2328653582412605,0.0,0.8364485981308412
162,121104,1296,0.3450419098037347,0.0,0.8054054054054054
163,121752,1304,0.3818809960684168,0.0,0.7587939698492462
164,122592,1312,0.29527931665286145,0.0,0.7954545454545454
165,123304,1320,0.3253036464088007,0.0,0.8
166,124080,1328,0.2730113710617741,0.0,0.8072916666666666
167,124856,1336,0.28803925217291665,0.0,0.8258928571428571
168,125696,1344,0.29448516573101796,0.0,0.8278688524590164
169,126536,1352,0.3806676253183236,0.0,0.7760617760617761
170,127248,1360,0.34180285409422867,0.0,0.7973568281938326
171,128472,1368,0.23900950327855475,0.0,0.802013422818792
172,129184,1376,0.28294013989030203,0.0,0.7924528301886793
173,129832,1384,0.3397285186162725,0.0,0.803921568627451
174,130544,1392,0.28097452455724964,0.0,0.8350515463917526
175,131320,1400,0.2888055183528975,0.0,0.8181818181818182
176,132160,1408,0.3937096590642181,0.0,0.7410714285714286
177,132936,1416,0.2693521866829279,0.0,0.8404669260700389
178,133648,1424,0.29738127651204255,0.0,0.8356807511737089
179,134168,1432,0.3916930670890679,0.0,0.7808988764044944
180,135008,1440,0.3169924133209715,0.0,0.7966101694915254
181,135592,1448,0.42092223570741366,0.0,0.7619047619047619
182,136240,1456,0.2773745690680426,0.0,0.8224852071005917
183,137016,1464,0.3445180511856283,0.0,0.7983193277310925
184,137728,1472,0.26114188682689626,0.0,0.8282828282828283
185,138376,1480,0.21859989737555913,0.0,0.8690476190476191
186,138896,1488,0.5437557236718074,0.0,0.7767441860465116
187,139544,1496,0.3022412273022839,0.0,0.8106508875739645
188,140256,1504,0.3272621074341499,0.0,0.8181818181818182
189,141160,1512,0.25653974754903497,0.0,0.7916666666666666
190,141936,1520,0.47220958473309943,0.0,0.726530612244898
191,142712,1528,0.3296444240530912,0.0,0.7983193277310925
192,143488,1536,0.34191846039858237,0.0,0.7631578947368421
193,144008,1544,0.3876796348452029,0.0,0.7944444444444444
194,144656,1552,0.277003863689115,0.0,0.8045977011494253
195,145176,1560,0.3055949436862493,0.0,0.8577981651376146
196,145888,1568,0.26502864434088397,0.0,0.826530612244898
197,146664,1576,0.2619422009704707,0.0,0.8041237113402062
198,147248,1584,0.3513114719388055,0.0,0.8
199,147960,1592,0.265084598816479,0.0,0.8518518518518519
200,148736,1600,0.3864893354065299,0.0,0.7801724137931034
201,149512,1608,0.2683017681871251,0.0,0.8312236286919831
202,150160,1616,0.34877262862368597,0.0,0.7910447761194029
203,150936,1624,0.20322243598599768,0.0,0.845
